시행횟수,100번,1000번,10000번,100000번
126번째수,,1.52,1.74,4.75
127번째수,,3.09,1.8,3.59
128번째수,,3.69,3.79,4.92
129번째수,,4.24,2.39,5.35
130번째수,,3.02,3.87,2.32
131번째수,,3.23,5.61,2.54
132번째수,,1.71,2.37,2.68
133번째수,,5.3,3.88,4.05
134번째수,,4.12,1.24,4.3
135번째수,,3.61,3.43,3.55
136번째수,,5.18,3.18,4.92
137번째수,,2.28,3.82,3.26
138번째수,,4.05,3.62,2.15
139번째수,,4.22,2.68,3.39
140번째수,,3.94,1.57,3.93
141번째수,,1.15,3.45,3.53
142번째수,,1.8,1.69,5.01
143번째수,,1.52,4.41,1.98
144번째수,,1.73,2.56,3.35
145번째수,,4.54,1.27,2.34
146번째수,,3.95,3.77,2.65
147번째수,,5.09,4.41,1.11
148번째수,,2.54,4.17,1.62
149번째수,,5.42,5.95,1.92
150번째수,,3.08,3.25,5.36
151번째수,,5.6,4.56,3.07
152번째수,,2.73,2.98,5.6
153번째수,,3.93,3.15,1.25
154번째수,,1.18,4.91,5.06
155번째수,,5.89,1.88,1.53
156번째수,,1.28,5.75,3.28
157번째수,,3.3,2.1,3.2
158번째수,,3.04,3.63,5.04
159번째수,,4.81,3.88,1.57
160번째수,,3.36,4.36,5.04
161번째수,,2.17,1.41,3.2
162번째수,,4.02,1.34,4.59
163번째수,,1.96,2.1,1.9
164번째수,,5.56,3.34,1.38
165번째수,,5.5,2.95,3.02
166번째수,,2.21,1.77,2.36
167번째수,,4.49,4.77,2.71
168번째수,,4.66,1.49,3.58
169번째수,,2.95,3.65,5.11
170번째수,,5.71,5.66,5.26
171번째수,,4.07,5.22,4.58
172번째수,,3.1,5.75,1.44
173번째수,,2.93,2.6,5.74
174번째수,,4.27,4.27,4.4
175번째수,,2.32,1.05,3.11
176번째수,,5.82,2.44,1.08
177번째수,,1.82,2.49,1.52
178번째수,,1.45,1.99,2.2
179번째수,,5.1,2.79,1.35
180번째수,,3.13,3.4,3.44
181번째수,,1.97,3.49,1.86
182번째수,,2.74,1.34,1.89
183번째수,,4.27,3.56,3.42
184번째수,,1.37,1.78,1.72
185번째수,,4.62,2.87,5.55
186번째수,,5.0,1.32,1.04
187번째수,,5.43,2.84,3.81
188번째수,,5.96,5.6,4.43
189번째수,,3.13,3.98,4.03
190번째수,,3.89,3.93,4.59
191번째수,,3.11,5.24,2.83
192번째수,,4.05,3.36,3.44
193번째수,,2.79,1.71,3.38
194번째수,,3.05,3.53,2.44
195번째수,,1.52,5.9,3.33
196번째수,,5.28,2.59,4.12
197번째수,,2.23,3.61,3.18
198번째수,,2.57,2.84,3.28
199번째수,,1.98,3.16,2.59
200번째수,,1.79,4.86,5.06
201번째수,,4.92,2.0,3.6
202번째수,,2.21,1.01,4.87
203번째수,,4.29,5.49,4.51
204번째수,,2.58,2.85,5.97
205번째수,,5.09,5.8,2.83
206번째수,,5.34,5.04,3.54
207번째수,,2.13,5.96,1.53
208번째수,,5.51,1.33,3.88
209번째수,,2.26,5.09,3.43
210번째수,,2.97,4.0,5.67
211번째수,,3.58,4.96,2.89
212번째수,,4.86,2.45,3.95
213번째수,,4.97,1.52,1.24
214번째수,,2.64,4.64,1.71
215번째수,,1.67,3.56,2.58
216번째수,,4.99,3.68,2.13
217번째수,,4.87,4.88,5.46
218번째수,,2.19,4.78,3.6
219번째수,,4.31,2.32,2.95
220번째수,,5.46,1.93,2.83
221번째수,,1.48,3.27,5.04
222번째수,,2.85,1.59,2.01
223번째수,,4.55,1.08,1.07
224번째수,,2.58,4.89,4.13
225번째수,,1.89,5.59,1.68
226번째수,,3.12,5.25,4.88
227번째수,,3.26,5.77,2.47
228번째수,,4.79,3.8,5.08
229번째수,,5.29,4.24,1.76
230번째수,,5.03,5.47,4.58
231번째수,,4.74,1.28,2.83
232번째수,,5.22,5.8,1.75
233번째수,,2.04,5.84,4.5
234번째수,,3.49,4.05,2.2
235번째수,,5.78,1.12,3.02
236번째수,,3.7,2.26,1.81
237번째수,,5.1,5.77,2.22
238번째수,,2.91,5.0,1.08
239번째수,,5.04,4.12,4.2
240번째수,,1.69,3.54,4.07
241번째수,,3.76,2.07,5.81
242번째수,,2.76,5.16,4.71
243번째수,,3.04,5.47,1.36
244번째수,,1.13,2.99,4.49
245번째수,,1.45,2.2,2.75
246번째수,,1.98,5.89,2.97
247번째수,,3.55,5.96,5.47
248번째수,,3.0,3.58,4.75
249번째수,,3.23,1.46,4.53
250번째수,,3.66,4.88,3.16
251번째수,,2.37,3.14,1.13
252번째수,,2.44,4.01,3.6
253번째수,,4.71,1.41,3.05
254번째수,,4.94,4.31,3.92
255번째수,,4.17,3.0,1.89
256번째수,,1.96,4.37,2.66
257번째수,,1.2,3.02,3.9
258번째수,,1.75,4.34,5.58
259번째수,,5.62,2.58,1.01
260번째수,,4.19,5.21,5.87
261번째수,,1.03,2.91,2.7
262번째수,,3.82,5.35,4.65
263번째수,,1.14,4.9,5.72
264번째수,,2.67,2.37,3.39
265번째수,,3.6,2.2,1.33
266번째수,,5.61,2.36,4.39
267번째수,,5.52,1.02,5.91
268번째수,,5.62,5.84,1.56
269번째수,,5.03,3.39,5.04
270번째수,,4.84,2.38,1.01
271번째수,,4.69,4.24,4.54
272번째수,,1.09,3.13,4.26
273번째수,,5.34,5.81,3.55
274번째수,,1.28,2.64,1.4
275번째수,,2.19,4.75,4.15
276번째수,,3.49,2.99,5.85
277번째수,,3.39,4.65,2.35
278번째수,,1.28,3.26,1.14
279번째수,,1.32,3.31,5.51
280번째수,,3.31,5.04,1.6
281번째수,,1.28,1.98,3.36
282번째수,,2.2,3.27,5.02
283번째수,,2.77,4.35,2.61
284번째수,,3.64,3.37,5.5
285번째수,,1.96,2.1,3.68
286번째수,,5.55,1.04,4.4
287번째수,,4.54,1.16,2.17
288번째수,,3.01,1.38,3.97
289번째수,,4.25,3.09,2.78
290번째수,,5.37,5.12,5.96
291번째수,,5.56,4.03,5.11
292번째수,,5.17,4.87,3.14
293번째수,,1.43,1.69,1.24
294번째수,,4.32,2.82,5.65
295번째수,,1.96,2.39,3.16
296번째수,,5.34,3.81,5.11
297번째수,,1.1,2.48,1.22
298번째수,,3.77,2.59,2.17
299번째수,,2.0,2.7,5.08
300번째수,,3.57,4.92,5.19
301번째수,,2.25,3.05,1.7
302번째수,,3.21,1.34,1.24
303번째수,,1.07,2.23,3.94
304번째수,,4.84,4.78,4.3
305번째수,,1.33,2.34,5.98
306번째수,,3.62,4.07,1.68
307번째수,,2.4,4.31,1.96
308번째수,,2.09,1.3,4.31
309번째수,,1.56,3.76,3.4
310번째수,,1.19,5.81,3.96
311번째수,,1.36,1.38,5.47
312번째수,,3.96,3.55,5.27
313번째수,,3.65,3.14,2.06
314번째수,,3.22,1.78,3.52
315번째수,,3.81,1.87,1.08
316번째수,,4.47,2.66,4.97
317번째수,,4.11,5.67,1.82
318번째수,,3.75,4.26,1.74
319번째수,,1.54,1.62,3.53
320번째수,,1.5,2.03,4.15
321번째수,,5.18,1.4,4.03
322번째수,,5.53,2.7,3.75
323번째수,,2.99,3.86,3.18
324번째수,,1.32,2.18,4.42
325번째수,,4.05,3.69,3.92
326번째수,,1.62,4.15,1.1
327번째수,,3.01,5.25,4.35
328번째수,,3.79,5.06,1.49
329번째수,,5.94,2.44,1.95
330번째수,,1.1,5.98,2.37
331번째수,,2.45,4.26,3.99
332번째수,,5.81,2.41,3.5
333번째수,,2.82,1.77,4.84
334번째수,,2.11,1.19,5.83
335번째수,,3.39,1.05,1.45
336번째수,,1.23,2.42,2.55
337번째수,,1.14,1.01,5.61
338번째수,,5.44,3.23,2.31
339번째수,,1.55,2.14,2.55
340번째수,,4.68,3.97,4.16
341번째수,,3.0,4.99,2.61
342번째수,,5.81,2.03,1.19
343번째수,,2.12,2.49,1.98
344번째수,,5.76,1.01,2.93
345번째수,,1.62,2.33,2.75
346번째수,,1.1,4.72,4.01
347번째수,,1.58,3.55,1.5
348번째수,,5.86,3.16,3.65
349번째수,,4.28,1.41,3.27
350번째수,,5.37,1.95,2.03
351번째수,,1.72,3.11,2.36
352번째수,,4.92,3.8,2.06
353번째수,,2.96,3.48,1.56
354번째수,,2.42,5.06,3.99
355번째수,,4.37,3.16,4.47
356번째수,,1.81,1.99,2.53
357번째수,,4.03,4.57,1.28
358번째수,,3.11,2.06,5.72
359번째수,,1.39,4.69,3.25
360번째수,,5.97,5.34,4.68
361번째수,,1.11,2.99,1.75
362번째수,,5.09,5.48,4.0
363번째수,,1.58,3.68,1.31
364번째수,,4.69,2.48,4.56
365번째수,,5.2,4.55,5.07
366번째수,,4.0,4.35,5.6
367번째수,,2.14,4.46,2.63
368번째수,,3.12,5.75,5.68
369번째수,,3.62,1.34,5.44
370번째수,,5.96,4.96,5.29
371번째수,,2.54,3.21,4.43
372번째수,,5.91,2.83,4.23
373번째수,,4.09,4.69,4.7
374번째수,,2.45,1.53,5.18
375번째수,,4.21,4.95,1.41
376번째수,,5.33,3.73,4.32
377번째수,,5.25,4.16,4.38
378번째수,,2.43,2.65,4.27
379번째수,,1.42,1.6,2.56
380번째수,,4.44,4.74,1.64
381번째수,,2.76,5.94,5.47
382번째수,,5.01,1.3,2.92
383번째수,,3.38,5.4,1.12
384번째수,,4.58,4.72,3.27
385번째수,,1.91,5.3,5.24
386번째수,,1.41,3.05,1.69
387번째수,,2.48,2.37,2.64
388번째수,,4.52,3.48,3.98
389번째수,,4.0,5.1,4.06
390번째수,,3.49,1.85,4.34
391번째수,,2.62,2.36,4.92
392번째수,,1.61,2.72,2.77
393번째수,,5.93,3.41,5.78
394번째수,,4.01,2.06,5.15
395번째수,,4.55,3.15,3.76
396번째수,,1.96,3.09,3.96
397번째수,,2.71,1.91,4.78
398번째수,,2.63,5.84,1.91
399번째수,,2.59,5.61,2.68
400번째수,,3.7,2.9,2.3
401번째수,,5.19,1.96,1.1
402번째수,,1.12,1.98,1.78
403번째수,,2.01,5.01,2.57
404번째수,,2.15,4.62,5.19
405번째수,,5.2,2.21,2.28
406번째수,,5.64,1.74,1.38
407번째수,,5.64,4.34,2.1
408번째수,,1.55,4.02,5.32
409번째수,,5.81,3.92,5.45
410번째수,,1.3,4.59,5.17
411번째수,,2.13,4.18,2.18
412번째수,,2.6,4.01,2.88
413번째수,,4.67,5.05,1.3
414번째수,,3.4,4.72,1.63
415번째수,,1.16,5.22,5.38
416번째수,,5.57,5.86,1.74
417번째수,,5.42,1.91,3.09
418번째수,,1.38,3.42,5.1
419번째수,,2.31,4.38,3.61
420번째수,,2.06,4.89,3.19
421번째수,,2.68,2.56,5.94
422번째수,,3.27,4.48,4.85
423번째수,,2.16,4.94,1.56
424번째수,,1.57,4.14,2.79
425번째수,,1.41,1.27,2.04
426번째수,,1.87,2.36,2.67
427번째수,,3.44,1.61,5.68
428번째수,,1.6,1.85,5.3
429번째수,,5.57,4.72,4.11
430번째수,,5.09,2.42,1.96
431번째수,,4.76,5.09,4.2
432번째수,,4.06,3.07,5.64
433번째수,,4.59,5.83,5.56
434번째수,,3.75,1.91,2.28
435번째수,,1.54,1.41,2.64
436번째수,,4.38,3.22,2.22
437번째수,,4.05,1.9,1.82
438번째수,,5.95,2.16,5.26
439번째수,,2.64,2.11,4.31
440번째수,,4.46,4.21,1.67
441번째수,,1.66,2.09,5.55
442번째수,,3.73,3.12,5.95
443번째수,,2.09,5.23,3.41
444번째수,,5.58,2.29,3.52
445번째수,,3.56,3.19,4.69
446번째수,,4.52,4.11,4.83
447번째수,,4.74,2.15,2.72
448번째수,,5.91,2.84,6.0
449번째수,,2.9,5.45,2.5
450번째수,,1.13,5.02,5.35
451번째수,,4.61,3.57,1.46
452번째수,,5.71,4.88,5.51
453번째수,,4.29,1.47,4.21
454번째수,,4.24,2.92,5.1
455번째수,,3.01,1.18,5.4
456번째수,,1.83,5.04,4.43
457번째수,,1.45,1.57,1.23
458번째수,,2.33,2.94,3.0
459번째수,,5.04,2.55,2.85
460번째수,,4.42,1.31,3.32
461번째수,,5.84,1.36,5.1
462번째수,,2.9,2.11,4.68
463번째수,,3.72,1.37,1.54
464번째수,,3.1,2.92,2.74
465번째수,,4.98,3.9,3.88
466번째수,,4.69,1.72,5.46
467번째수,,4.13,3.56,5.43
468번째수,,1.4,5.89,5.75
469번째수,,2.82,4.2,4.28
470번째수,,3.86,1.63,3.64
471번째수,,2.96,3.19,5.18
472번째수,,4.14,1.38,4.9
473번째수,,2.29,1.08,2.92
474번째수,,3.34,5.79,2.74
475번째수,,3.88,4.91,3.41
476번째수,,2.64,3.07,5.72
477번째수,,2.57,4.71,5.83
478번째수,,3.8,1.76,1.12
479번째수,,2.85,4.05,3.43
480번째수,,2.64,4.46,5.99
481번째수,,1.77,5.13,5.52
482번째수,,2.14,3.71,2.94
483번째수,,4.26,1.84,3.86
484번째수,,3.51,3.31,4.61
485번째수,,1.15,1.64,3.36
486번째수,,5.93,3.58,5.96
487번째수,,1.83,2.95,4.05
488번째수,,2.68,3.84,2.93
489번째수,,4.81,3.15,3.85
490번째수,,1.3,1.25,4.33
491번째수,,1.95,1.41,4.47
492번째수,,3.91,5.13,3.79
493번째수,,3.64,1.48,3.6
494번째수,,5.4,2.06,2.71
495번째수,,2.11,3.8,1.49
496번째수,,2.65,5.66,1.78
497번째수,,2.38,5.25,5.32
498번째수,,4.51,2.73,1.59
499번째수,,4.75,5.68,3.95
500번째수,,5.37,5.46,4.92
501번째수,,2.56,1.45,1.86
502번째수,,5.27,4.86,3.74
503번째수,,1.48,2.18,3.18
504번째수,,1.07,1.82,2.39
505번째수,,3.36,1.92,2.58
506번째수,,5.08,1.15,2.35
507번째수,,1.79,2.22,4.4
508번째수,,5.3,4.2,3.58
509번째수,,4.41,5.78,4.35
510번째수,,3.28,5.48,5.83
511번째수,,4.0,2.54,4.54
512번째수,,2.83,3.8,4.42
513번째수,,3.03,2.48,2.13
514번째수,,3.95,2.18,3.73
515번째수,,1.71,4.61,3.26
516번째수,,3.5,5.31,5.74
517번째수,,3.89,2.15,2.62
518번째수,,2.05,3.55,1.23
519번째수,,4.11,5.94,4.89
520번째수,,5.3,3.0,1.18
521번째수,,1.82,2.71,2.39
522번째수,,5.91,5.05,3.18
523번째수,,2.86,2.4,5.92
524번째수,,3.68,1.98,2.6
525번째수,,2.76,2.93,1.09
526번째수,,2.47,1.71,5.87
527번째수,,1.28,1.11,5.4
528번째수,,1.18,1.24,5.62
529번째수,,5.09,5.97,5.11
530번째수,,5.04,2.45,4.4
531번째수,,2.12,4.92,1.7
532번째수,,2.05,1.33,4.23
533번째수,,5.82,4.59,3.93
534번째수,,2.39,1.22,5.88
535번째수,,4.98,3.42,5.02
536번째수,,5.33,4.7,5.12
537번째수,,3.3,4.8,4.92
538번째수,,5.28,2.34,4.23
539번째수,,5.68,1.92,4.12
540번째수,,4.33,3.62,1.39
541번째수,,2.63,2.9,4.95
542번째수,,3.8,2.29,2.15
543번째수,,4.44,3.93,1.58
544번째수,,2.1,4.89,2.89
545번째수,,4.05,3.85,1.59
546번째수,,3.94,3.78,5.27
547번째수,,2.77,2.77,1.41
548번째수,,2.34,5.12,3.21
549번째수,,3.99,2.33,4.47
550번째수,,4.24,2.11,4.39
551번째수,,3.12,1.59,5.63
552번째수,,1.32,5.71,1.68
553번째수,,4.72,4.1,3.76
554번째수,,5.89,1.94,1.69
555번째수,,2.68,3.74,3.16
556번째수,,5.77,4.02,2.69
557번째수,,3.68,5.92,1.06
558번째수,,3.74,5.96,5.17
559번째수,,3.57,5.95,1.12
560번째수,,1.95,3.41,3.79
561번째수,,3.15,5.84,5.94
562번째수,,5.63,4.78,4.85
563번째수,,5.15,3.34,1.28
564번째수,,3.25,4.26,5.74
565번째수,,5.37,4.48,5.39
566번째수,,4.49,4.13,2.02
567번째수,,5.96,4.62,5.75
568번째수,,5.85,4.33,1.62
569번째수,,3.96,2.92,2.49
570번째수,,1.33,2.71,4.5
571번째수,,3.03,1.17,3.22
572번째수,,3.46,2.56,4.54
573번째수,,1.61,1.67,1.39
574번째수,,3.22,2.21,3.12
575번째수,,5.73,2.85,3.24
576번째수,,5.85,1.49,1.57
577번째수,,5.79,2.63,3.4
578번째수,,3.92,5.06,4.05
579번째수,,2.6,5.2,3.07
580번째수,,4.71,5.21,4.22
581번째수,,5.65,3.2,3.35
582번째수,,3.38,1.55,3.06
583번째수,,2.08,4.79,4.65
584번째수,,1.43,2.88,3.42
585번째수,,3.15,5.32,5.79
586번째수,,1.15,5.39,1.63
587번째수,,2.94,5.5,2.27
588번째수,,5.29,1.19,4.69
589번째수,,2.94,2.27,4.22
590번째수,,2.92,1.62,5.07
591번째수,,4.77,4.95,3.94
592번째수,,3.79,3.15,3.17
593번째수,,2.44,2.55,3.24
594번째수,,1.49,3.63,5.35
595번째수,,5.87,2.31,1.39
596번째수,,2.04,4.27,1.48
597번째수,,3.42,2.41,1.5
598번째수,,5.23,5.54,1.49
599번째수,,4.71,5.88,4.14
600번째수,,1.36,3.96,1.69
601번째수,,3.93,1.85,1.52
602번째수,,1.45,2.56,1.27
603번째수,,5.17,4.62,3.61
604번째수,,5.89,4.51,3.72
605번째수,,1.05,1.14,4.47
606번째수,,2.97,5.02,3.91
607번째수,,4.22,3.22,3.93
608번째수,,3.09,1.76,5.1
609번째수,,5.89,1.49,1.27
610번째수,,5.19,4.22,2.04
611번째수,,2.43,2.79,4.54
612번째수,,3.16,2.65,4.63
613번째수,,4.84,3.51,4.13
614번째수,,1.82,3.47,3.22
615번째수,,3.26,2.16,4.67
616번째수,,2.78,2.36,4.11
617번째수,,4.67,3.25,4.14
618번째수,,4.73,4.03,4.06
619번째수,,3.3,5.81,4.59
620번째수,,4.93,1.79,2.99
621번째수,,1.2,4.49,5.66
622번째수,,3.34,1.14,4.76
623번째수,,1.74,5.28,1.02
624번째수,,1.33,4.35,1.11
625번째수,,3.58,2.76,4.1
626번째수,,1.97,4.3,4.52
627번째수,,1.3,2.97,1.16
628번째수,,2.58,5.47,3.24
629번째수,,1.79,2.58,3.66
630번째수,,4.64,5.37,2.34
631번째수,,2.39,3.52,3.94
632번째수,,5.97,5.06,4.59
633번째수,,1.88,5.39,1.02
634번째수,,4.58,1.7,1.31
635번째수,,1.33,5.63,2.44
636번째수,,5.57,4.42,4.49
637번째수,,4.3,3.59,1.96
638번째수,,4.03,4.78,3.71
639번째수,,3.6,1.19,3.13
640번째수,,5.41,1.28,4.14
641번째수,,3.09,4.84,2.5
642번째수,,2.87,5.06,2.57
643번째수,,1.4,1.19,5.15
644번째수,,3.91,3.35,4.97
645번째수,,5.81,1.47,3.15
646번째수,,3.77,2.81,5.34
647번째수,,2.9,1.9,1.93
648번째수,,2.32,1.79,5.57
649번째수,,4.91,2.6,5.42
650번째수,,3.28,3.2,5.11
651번째수,,4.13,1.58,3.67
652번째수,,4.22,3.34,2.57
653번째수,,4.05,4.59,4.63
654번째수,,3.47,3.3,5.85
655번째수,,2.96,5.75,5.37
656번째수,,1.95,4.89,2.39
657번째수,,3.04,3.19,5.62
658번째수,,4.75,2.15,4.99
659번째수,,2.69,5.21,3.69
660번째수,,4.06,5.2,5.61
661번째수,,5.69,4.6,3.55
662번째수,,2.04,5.21,1.09
663번째수,,3.61,1.78,1.4
664번째수,,1.73,1.47,4.77
665번째수,,5.55,3.02,2.41
666번째수,,3.71,5.55,1.76
667번째수,,5.64,5.58,1.19
668번째수,,5.28,4.03,4.38
669번째수,,4.99,4.51,5.35
670번째수,,2.36,5.52,2.38
671번째수,,2.1,4.43,4.17
672번째수,,5.88,5.09,2.11
673번째수,,5.89,5.89,1.98
674번째수,,5.4,5.93,4.68
675번째수,,2.2,5.76,1.24
676번째수,,5.87,2.07,3.82
677번째수,,2.76,4.0,4.13
678번째수,,2.0,3.59,4.07
679번째수,,5.16,4.32,1.59
680번째수,,2.17,2.78,4.68
681번째수,,4.1,4.02,2.46
682번째수,,5.86,3.93,2.57
683번째수,,1.27,1.14,4.44
684번째수,,1.86,5.57,5.78
685번째수,,2.18,2.11,3.7
686번째수,,4.51,3.38,4.49
687번째수,,3.53,4.92,4.34
688번째수,,2.08,1.19,3.02
689번째수,,1.83,4.99,1.82
690번째수,,4.46,3.99,1.87
691번째수,,2.0,3.01,3.37
692번째수,,2.93,5.97,5.02
693번째수,,5.92,1.52,1.86
694번째수,,5.94,1.77,2.59
695번째수,,1.01,3.87,3.81
696번째수,,2.86,1.93,5.23
697번째수,,1.43,5.09,2.26
698번째수,,1.38,5.94,2.16
699번째수,,5.97,4.54,1.87
700번째수,,5.33,2.94,3.62
701번째수,,4.68,2.64,2.88
702번째수,,2.93,4.56,5.63
703번째수,,4.27,4.99,3.21
704번째수,,2.11,2.44,3.76
705번째수,,5.25,4.45,3.51
706번째수,,1.05,1.15,4.65
707번째수,,3.7,2.62,3.95
708번째수,,2.57,4.9,2.67
709번째수,,1.73,4.58,5.87
710번째수,,3.36,4.2,2.38
711번째수,,1.06,5.06,4.98
712번째수,,1.55,5.98,1.2
713번째수,,4.1,1.14,2.71
714번째수,,2.67,4.24,3.19
715번째수,,3.63,5.68,1.19
716번째수,,1.02,5.28,4.55
717번째수,,1.55,1.97,1.47
718번째수,,2.04,2.22,4.13
719번째수,,2.19,1.25,2.3
720번째수,,3.07,4.45,5.3
721번째수,,4.63,3.09,4.89
722번째수,,5.33,4.0,4.24
723번째수,,1.34,4.46,4.04
724번째수,,2.76,2.31,1.68
725번째수,,1.72,1.02,5.26
726번째수,,4.86,5.63,3.52
727번째수,,4.68,4.98,5.53
728번째수,,1.13,3.63,3.66
729번째수,,5.88,2.83,1.01
730번째수,,2.19,2.02,4.63
731번째수,,5.7,2.54,4.1
732번째수,,2.65,2.23,4.31
733번째수,,4.78,4.54,3.19
734번째수,,5.0,1.93,5.37
735번째수,,2.42,3.81,4.89
736번째수,,3.55,3.41,2.7
737번째수,,1.72,1.83,4.11
738번째수,,5.72,3.51,1.67
739번째수,,5.01,2.84,3.34
740번째수,,4.48,4.64,1.14
741번째수,,5.97,1.34,4.51
742번째수,,1.81,3.49,1.5
743번째수,,2.35,4.9,3.96
744번째수,,1.69,4.76,5.2
745번째수,,5.22,1.78,1.37
746번째수,,2.79,3.22,2.44
747번째수,,4.44,2.12,5.22
748번째수,,2.26,5.1,2.19
749번째수,,3.3,3.3,2.76
750번째수,,4.64,3.13,2.75
751번째수,,2.57,3.8,1.79
752번째수,,4.55,4.04,2.13
753번째수,,4.21,1.63,3.63
754번째수,,1.47,1.93,4.58
755번째수,,5.0,1.92,2.28
756번째수,,5.17,2.0,2.96
757번째수,,2.24,4.6,4.47
758번째수,,1.69,3.78,3.64
